PaperID,RelatedToPaperID
00000f4552fc7742585d81666afb9c1163393e17,20d780bf0344abc8980572fc5459091c382d4ba8
00000f4552fc7742585d81666afb9c1163393e17,88d19821828dcf2bb40ec17fd53adb284f67d7d0
00000f4552fc7742585d81666afb9c1163393e17,8509485721393d06595834a98c527a3f54052009
00000f4552fc7742585d81666afb9c1163393e17,a7446c94ef2515f744c1bb04e8f51f0f141a1993
00000f4552fc7742585d81666afb9c1163393e17,e8038192e1de82211b9c45d7a0f2fac2aabdd016
00000f4552fc7742585d81666afb9c1163393e17,dc106710715e3b724e393e3562cbb8f2e5865161
00000f4552fc7742585d81666afb9c1163393e17,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c
00000f4552fc7742585d81666afb9c1163393e17,cca56aef23a4b4b4b6799b44c63ac6e97468ba70
00000f4552fc7742585d81666afb9c1163393e17,f5658866a7e1a75d0815deb1c269d0b44b4b20b0
00000f4552fc7742585d81666afb9c1163393e17,9106098d8c7dfceba692feb4ed2f8740b5047275
00000f4552fc7742585d81666afb9c1163393e17,d11678f5e923165d55c6434a445ab39dfbe65f5e
00000f4552fc7742585d81666afb9c1163393e17,8153eeca504bfe4395b0b5620e706b21740af954
00000f4552fc7742585d81666afb9c1163393e17,276a31ccce7e80084334355db5e2445c6201595b
00000f4552fc7742585d81666afb9c1163393e17,c31b8c1003b65f6778f6025387709910da2d4d0e
00000f4552fc7742585d81666afb9c1163393e17,7f21a9c4dfb91ae2357a18042177137bf83feac4
00000f4552fc7742585d81666afb9c1163393e17,06453cf3e666eceb28184d216879e9fa9d188b2b
00000f4552fc7742585d81666afb9c1163393e17,bce63f4a4144a620d62b43aa6efcbd1346ff9191
00000f4552fc7742585d81666afb9c1163393e17,f4e2b4bde666d8a74d1c70c2b8949352ea6f886d
00000f4552fc7742585d81666afb9c1163393e17,9c413c6408fb69ce7694ec088dfcc1345bd9c7c1
00000f4552fc7742585d81666afb9c1163393e17,080e660b47647e81dadaec27365b3d5b88f3ae68
00000f4552fc7742585d81666afb9c1163393e17,8a0c5a35f06275c56c29a6eb7158ea218baaff64
00000f4552fc7742585d81666afb9c1163393e17,51f27a0e8064fc5ab0b8699ce43448f4a9809015
00000f4552fc7742585d81666afb9c1163393e17,a7e07cb4a656972f558ff06ae0d497285d4d55e4
8509485721393d06595834a98c527a3f54052009,09adcea68288a5d4487a1e6bc986cd8136716d22
8509485721393d06595834a98c527a3f54052009,46d6f089e303bab6f6c032d9b72a4e1119dd6431
8509485721393d06595834a98c527a3f54052009,0d9df0616d4839d77b662436539307326a5e6776
a7446c94ef2515f744c1bb04e8f51f0f141a1993,a349880cb3a64058e426351624a2cd49856c3c0c
a7446c94ef2515f744c1bb04e8f51f0f141a1993,0ec9db7484d95e59d2394257aecad6a606ed1b29
a7446c94ef2515f744c1bb04e8f51f0f141a1993,0cde3883c6e87a0ccbfd9f707ad8d58077631882
a7446c94ef2515f744c1bb04e8f51f0f141a1993,4e325bfe14036707052c28e5171948d579e8a6ee
a7446c94ef2515f744c1bb04e8f51f0f141a1993,ed34a89ad6cc0e78a75d8e3a6960aaf57def9f16
a7446c94ef2515f744c1bb04e8f51f0f141a1993,8b4e0fb70d4068ab63ef9dd72768193346ec59b7
a7446c94ef2515f744c1bb04e8f51f0f141a1993,34ecc1b26a0a01e08f68bb24b066a6b87386fd79
a7446c94ef2515f744c1bb04e8f51f0f141a1993,c3415d1d1beb2c508aa6f8815090b365ea77dcb4
a7446c94ef2515f744c1bb04e8f51f0f141a1993,9900be2d68a0c0b8e2e600b2f164bb143278baf0
a7446c94ef2515f744c1bb04e8f51f0f141a1993,4bf3c27c9c21218b486c448245ad67e077d8fd1e
a7446c94ef2515f744c1bb04e8f51f0f141a1993,16318df5de8ef02c05e5b363f0f3d19189db13d2
a7446c94ef2515f744c1bb04e8f51f0f141a1993,1c06c4eacdaf704bb9b4e275dd849a296b3c2b26
a7446c94ef2515f744c1bb04e8f51f0f141a1993,cf5208f11b16d6af7dcba5f2bdd8873b89a27a4f
a7446c94ef2515f744c1bb04e8f51f0f141a1993,ae68930a5da915fca0cee0827f761bfe499a23ab
a7446c94ef2515f744c1bb04e8f51f0f141a1993,0c7e205a15d4112d0c8e770e27ff49370f46f6f6
e8038192e1de82211b9c45d7a0f2fac2aabdd016,78f4898a8124b5063fbbf42751703aa22a621e52
e8038192e1de82211b9c45d7a0f2fac2aabdd016,0950750ab66b7b27688d5dc7acc1e41189f1ffd0
e8038192e1de82211b9c45d7a0f2fac2aabdd016,3c15edb41716fd46467c4b279260a17208ce6bde
e8038192e1de82211b9c45d7a0f2fac2aabdd016,644006682ccbc461b1c22569faff9d1cf191fdb5
e8038192e1de82211b9c45d7a0f2fac2aabdd016,1c06c4eacdaf704bb9b4e275dd849a296b3c2b26
e8038192e1de82211b9c45d7a0f2fac2aabdd016,e9bf333219929128e3b96a280b55474b043d4f7b
e8038192e1de82211b9c45d7a0f2fac2aabdd016,a7446c94ef2515f744c1bb04e8f51f0f141a1993
e8038192e1de82211b9c45d7a0f2fac2aabdd016,27d6d3ea6f6b743013985cef1e2f2a94360a980f
e8038192e1de82211b9c45d7a0f2fac2aabdd016,45f42ef266c4cc7c02d85fb22402c5ab464cfb0a
e8038192e1de82211b9c45d7a0f2fac2aabdd016,5c107ef789b918bbba412150474f2222936d929f
e8038192e1de82211b9c45d7a0f2fac2aabdd016,dbe3f7c011a4571414af747f169d96823e83cebe
e8038192e1de82211b9c45d7a0f2fac2aabdd016,a9b62941ce097db89f080507f0b08cbaeeb2dd29
e8038192e1de82211b9c45d7a0f2fac2aabdd016,4a168efc3f8ac9b5f2e1afe45fba6a70f0b7b921
e8038192e1de82211b9c45d7a0f2fac2aabdd016,48fd4aa39845f9d4fe8ee8561c3bd79f349ec188
e8038192e1de82211b9c45d7a0f2fac2aabdd016,7b1fa69eb45c9b108278fe205296f17628159a2c
e8038192e1de82211b9c45d7a0f2fac2aabdd016,657f5cb0141cf2c11a8b73635be612ddf772e6b5
dc106710715e3b724e393e3562cbb8f2e5865161,114e4346a88ab310ab2f0d40ccbf77cfa8080da2
dc106710715e3b724e393e3562cbb8f2e5865161,e70dd975562f1cb0f70fb627bee93402bf237005
dc106710715e3b724e393e3562cbb8f2e5865161,71bdc09224b3165624b168e414c0277131a4301c
dc106710715e3b724e393e3562cbb8f2e5865161,f0a2ba20ff7830675bfd8e1a1c9e26fc90d0bd78
dc106710715e3b724e393e3562cbb8f2e5865161,bb7efb27ce27d22c6299d6fd4b3233d295b02f22
dc106710715e3b724e393e3562cbb8f2e5865161,6ba94bcef38e58470d962cec2cc750fbf5efd4be
dc106710715e3b724e393e3562cbb8f2e5865161,755349bcfcee0a956fd37310b9dd8224f0537ddd
dc106710715e3b724e393e3562cbb8f2e5865161,88bdb61dbb8af13d5472ef6385646357933942c1
dc106710715e3b724e393e3562cbb8f2e5865161,82c9c049cc084860359d83d504ba8365cdf76891
dc106710715e3b724e393e3562cbb8f2e5865161,74ab0a00da9724cb7db36de862c8726d4d2cdfa5
dc106710715e3b724e393e3562cbb8f2e5865161,40e07603c421eec9253e9546db8734afa09365d2
dc106710715e3b724e393e3562cbb8f2e5865161,c3415d1d1beb2c508aa6f8815090b365ea77dcb4
dc106710715e3b724e393e3562cbb8f2e5865161,40b70919851c0efb529d37b6f06529bc1ea66b80
